"Name","Group","State","Notes","User","Tags","Created","Runtime","Sweep","data.name","data.params.dataset_path","data.params.feature_csv_path","data.params.file_byte_read_limit","data.params.use_code_only","model.name","model.params.num_classes","target_feature","training.batch_size","training.criterion","training.epochs","training.learning_rate","training.optimizer","training.weight_decay","transforms.name","transforms.params.dimx","transforms.params.dimy","transforms.params.duplicate_to_n_channels","transforms.params.normalize","validator.name","validator.seed","validator.wandb_project_name","batch_loss","epoch","overall_accuracy","test_accuracy_chunk","test_accuracy","test_loss","train_loss"
"fold_ia64","logo ResNet50 endianness 12:29:10, 07-03-2025","finished","-","","","2025-03-07T11:35:32.000Z","55","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","true","LOGO_architecture_wandb","4","mikkel-03-07-resnet-endianness","0.003279362339526415","1","","0.7341492776886035","0.7341492776886035","0.5111122906972201","0.026260815624137387"
"fold_i386","logo ResNet50 endianness 12:29:10, 07-03-2025","finished","-","","","2025-03-07T11:34:37.000Z","54","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","true","LOGO_architecture_wandb","4","mikkel-03-07-resnet-endianness","0.0015590219991281629","1","","0.9361910354276768","0.9361910354276768","0.1549351416528225","0.028340513282318857"
"fold_hppa","logo ResNet50 endianness 12:29:10, 07-03-2025","finished","-","","","2025-03-07T11:33:40.000Z","56","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","true","LOGO_architecture_wandb","4","mikkel-03-07-resnet-endianness","0.04585282504558563","1","","0.4583850931677019","0.4583850931677019","1.7002557029849603","0.025153354258948657"
"fold_armhf","logo ResNet50 endianness 12:29:10, 07-03-2025","finished","-","","","2025-03-07T11:32:47.000Z","52","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","true","LOGO_architecture_wandb","4","mikkel-03-07-resnet-endianness","0.003010010113939643","1","","0.9702127659574468","0.9702127659574468","0.09685555603059512","0.02567691425457292"
"fold_armel","logo ResNet50 endianness 12:29:10, 07-03-2025","finished","-","","","2025-03-07T11:31:52.000Z","54","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","true","LOGO_architecture_wandb","4","mikkel-03-07-resnet-endianness","0.002155162626877427","1","","1","1","0.00004171716396570893","0.02824151099738631"
"fold_arm64","logo ResNet50 endianness 12:29:10, 07-03-2025","finished","-","","","2025-03-07T11:30:59.000Z","52","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","true","LOGO_architecture_wandb","4","mikkel-03-07-resnet-endianness","0.00033131855889223516","1","","0.30363036303630364","0.30363036303630364","1.8995624195065417","0.0265135422913189"
"fold_amd64","logo ResNet50 endianness 12:29:10, 07-03-2025","finished","-","","","2025-03-07T11:30:06.000Z","51","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","true","LOGO_architecture_wandb","4","mikkel-03-07-resnet-endianness","0.01865507662296295","1","","0.9530462666055888","0.9530462666055888","0.1149463126692327","0.025082319858802736"
"fold_alpha","logo ResNet50 endianness 12:29:10, 07-03-2025","finished","-","","","2025-03-07T11:29:11.000Z","54","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","true","LOGO_architecture_wandb","4","mikkel-03-07-resnet-endianness","0.027524791657924652","1","","0.9753210778141526","0.9753210778141526","0.07146762864338974","0.029775278950992256"
"overall_metrics","logo ResNet50 endianness 12:06:40, 07-03-2025","finished","-","","","2025-03-07T11:28:57.000Z","3","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","true","LOGO_architecture_wandb","3","mikkel-03-07-resnet-endianness","","","0.6060999014471705","","","",""
"fold_x32","logo ResNet50 endianness 12:06:40, 07-03-2025","finished","-","","","2025-03-07T11:27:52.000Z","64","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","true","LOGO_architecture_wandb","3","mikkel-03-07-resnet-endianness","0.00122264854144305","1","","0.9777298850574712","0.9777298850574712","0.06958730620609652","0.02800853988288215"
"fold_sparc64","logo ResNet50 endianness 12:06:40, 07-03-2025","finished","-","","","2025-03-07T11:26:50.000Z","61","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","true","LOGO_architecture_wandb","3","mikkel-03-07-resnet-endianness","0.010686054825782776","1","","0.3247863247863248","0.3247863247863248","2.478263747233611","0.024499984793843063"
